"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D1";"LED_D3.0mm_Clear";1;"IR26-21C_L110_TR8";;;
2;"D2";"LED_D3.0mm_IRBlack";1;"D_Photo";;;
3;"D3";"LED_1206_3216Metric";1;"LED";;;
4;"J1";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03_Pin";;;
5;"R2";"R_0603_1608Metric";1;"250 Ohms";;;
6;"R3";"R_0603_1608Metric";1;"10k";;;
7;"R4";"R_0603_1608Metric";1;"330 ohms";;;
8;"RV1";"Potentiometer_Bourns_3314G_Vertical";1;"R_Potentiometer_US";;;
9;"U1 (LM393)";"SO-8_3.9x4.9mm_P1.27mm";1;"LM393";;;
